date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:23	44848/44848	---M--	200	added ('OK')	image/jpeg	etag:%22ecefcb0ebd737f1abd2cab9c2a2ddc69-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/1698390874085cf3d8e2eff6a57cff8008478bebb3536.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1698390874085cf3d8e2eff6a57cff8008478bebb3536e4d9.jpg	(from http://www.youkeb.com/)
23:36:25	34214/34214	---M--	200	added ('OK')	text/html	etag:%227120d42ae8da1:0%22	http://www.youkeb.com/2240983-2240983.html?newsid=4085823&_t=1664267341	C:/My%20Web%20Sites/tyhm/www.youkeb.com/2240983-2240983e5ee.html	(from http://www.youkeb.com/)
23:36:26	34214/34214	---M--	200	added ('OK')	text/html	etag:%227120d42ae8da1:0%22	http://www.youkeb.com/2240983-2240983.html?newsid=4085833&_t=1664269156	C:/My%20Web%20Sites/tyhm/www.youkeb.com/2240983-224098385fa.html	(from http://www.youkeb.com/)
23:36:26	303042/303042	---M--	200	added ('OK')	image/jpeg	etag:%22d54ca53b09d01f853657cc33137b1b92-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/1664272722665c9eb529f9329bdf4.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1664272722665c9eb529f9329bdf4e4d9.jpg	(from http://www.youkeb.com/)
23:36:26	2062779/2062779	---M--	200	added ('OK')	image/jpeg	etag:%22f68aac5e5cc8314302299a98cc913eff-2%22	https://cdn.yun.sooce.cn/4/66083/jpg/1698390865357ed0e0d0d3277862956185d21ede58726.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1698390865357ed0e0d0d3277862956185d21ede58726e4d9.jpg	(from http://www.youkeb.com/)
23:36:28	34214/34214	---M--	200	added ('OK')	text/html	etag:%227120d42ae8da1:0%22	http://www.youkeb.com/2240983-2240983.html?newsid=4086009&_t=1664273204	C:/My%20Web%20Sites/tyhm/www.youkeb.com/2240983-22409832548.html	(from http://www.youkeb.com/)
23:36:28	1582198/1582198	---M--	200	added ('OK')	image/png	etag:%22921142391c01359c40ee1f09416a64a7-2%22	https://cdn.yun.sooce.cn/4/66083/jpg/1664270429335bb874403887c5cfb.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1664270429335bb874403887c5cfbe4d9.png	(from http://www.youkeb.com/)
23:36:29	295098/295098	---M--	200	added ('OK')	image/png	etag:%22e7f5b696ff4e5c5c50dc00e6ec6ecd23-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/166445331500771afaadd83d4c16d.jpg?version=1664453336	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/166445331500771afaadd83d4c16d5dc8.png	(from http://www.youkeb.com/)
23:36:30	108271/108271	---M--	200	added ('OK')	image/png	etag:%22080e31129a8c9d98fe8503e644524794-1%22	https://cdn.yun.sooce.cn/4/66083/png/165223991534359ed5ffcd7468e2b.png?version=1652239918	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/png/165223991534359ed5ffcd7468e2b1178.png	(from http://www.youkeb.com/)
23:36:33	1384/1384	---M--	200	added ('OK')	image/png	etag:%228360a59b137bd81:0%22	http://www.youkeb.com/img/upimages/pkgimg/icon/icon2.png	C:/My%20Web%20Sites/tyhm/www.youkeb.com/img/upimages/pkgimg/icon/icon2.png	(from http://www.youkeb.com/)
